Sydney|-33.86,151.21,34|2015-06-04T21:09:12Z|Sunny|+14.55|1009.68|36
Sydney|-33.86,151.21,34|2015-06-05T19:18:24Z|Sunny|+15.66|1001.09|47
Sydney|-33.86,151.21,34|2015-06-06T17:27:36Z|Sunny|+7.09|1067.32|57
Sydney|-33.86,151.21,34|2015-06-07T15:36:48Z|Sunny|+7.40|1064.97|67
Sydney|-33.86,151.21,34|2015-06-08T13:46:00Z|Sunny|+7.70|1062.61|78
Sydney|-33.86,151.21,34|2015-06-09T11:55:12Z|Rain|+8.01|1060.25|88
Sydney|-33.86,151.21,34|2015-06-10T10:04:24Z|Rain|+8.01|1060.25|88
Sydney|-33.86,151.21,34|2015-06-11T08:13:36Z|Sunny|+7.86|1061.43|83
Sydney|-33.86,151.21,34|2015-06-12T06:22:48Z|Sunny|+14.00|1013.90|72
Sydney|-33.86,151.21,34|2015-06-13T04:32:00Z|Sunny|+8.05|1059.91|62
Melbourne|-37.83,144.98,34|2015-07-13T21:09:12Z|Sunny|+8.29|1033.45|36
Melbourne|-37.83,144.98,34|2015-07-14T19:18:24Z|Sunny|+5.37|1056.04|46
Melbourne|-37.83,144.98,34|2015-07-15T17:27:36Z|Sunny|+4.86|1059.91|57
Melbourne|-37.83,144.98,34|2015-07-16T15:36:48Z|Sunny|+4.36|1063.79|67
Melbourne|-37.83,144.98,34|2015-07-17T13:46:00Z|Sunny|+3.86|1067.67|77
Melbourne|-37.83,144.98,34|2015-07-18T11:55:12Z|Rain|+2.55|1077.78|88
Melbourne|-37.83,144.98,34|2015-07-19T10:04:24Z|Rain|+4.17|1065.31|88
Melbourne|-37.83,144.98,34|2015-07-20T08:13:36Z|Sunny|+5.63|1054.01|83
Melbourne|-37.83,144.98,34|2015-07-21T06:22:48Z|Sunny|+2.10|1081.32|72
Melbourne|-37.83,144.98,34|2015-07-22T04:32:00Z|Sunny|+1.79|1083.68|62
Adelaide|-34.92,138.62,0|2015-06-04T21:09:12Z|Sunny|+13.09|1014.37|36
Adelaide|-34.92,138.62,0|2015-06-05T19:18:24Z|Sunny|+14.20|1005.77|46
Adelaide|-34.92,138.62,0|2015-06-06T17:27:36Z|Sunny|+5.64|1072.01|57
Adelaide|-34.92,138.62,0|2015-06-07T15:36:48Z|Sunny|+5.94|1069.65|67
Adelaide|-34.92,138.62,0|2015-06-08T13:46:00Z|Sunny|+6.25|1067.29|78
Adelaide|-34.92,138.62,0|2015-06-09T11:55:12Z|Rain|+6.55|1064.93|88
Adelaide|-34.92,138.62,0|2015-06-10T10:04:24Z|Rain|+6.55|1064.93|88
Adelaide|-34.92,138.62,0|2015-06-11T08:13:36Z|Sunny|+6.40|1066.11|83
Adelaide|-34.92,138.62,0|2015-06-12T06:22:48Z|Sunny|+12.55|1018.58|72
Adelaide|-34.92,138.62,0|2015-06-13T04:32:00Z|Sunny|+6.60|1064.59|62
Perth|-31.95,115.86,0|2015-06-15T21:09:12Z|Sunny|+9.11|1063.61|36
Perth|-31.95,115.86,0|2015-06-16T19:18:24Z|Sunny|+16.67|1005.13|47
Perth|-31.95,115.86,0|2015-06-17T17:27:36Z|Sunny|+13.75|1027.71|57
Perth|-31.95,115.86,0|2015-06-18T15:36:48Z|Sunny|+13.25|1031.59|67
Perth|-31.95,115.86,0|2015-06-19T13:46:00Z|Sunny|+12.75|1035.47|78
Perth|-31.95,115.86,0|2015-06-20T11:55:12Z|Rain|+12.25|1039.35|88
Perth|-31.95,115.86,0|2015-06-21T10:04:24Z|Rain|+13.05|1033.11|88
Perth|-31.95,115.86,0|2015-06-22T08:13:36Z|Sunny|+14.51|1021.82|83
Perth|-31.95,115.86,0|2015-06-23T06:22:48Z|Sunny|+10.17|1055.36|73
Perth|-31.95,115.86,0|2015-06-24T04:32:00Z|Sunny|+9.87|1057.71|62
Darwin|-12.46,130.84,0|2015-08-04T21:09:12Z|Sunny|+41.53|933.89|38
Darwin|-12.46,130.84,0|2015-08-05T19:18:24Z|Sunny|+42.65|925.30|48
Darwin|-12.46,130.84,0|2015-08-06T17:27:36Z|Rain|+44.56|910.47|59
Darwin|-12.46,130.84,0|2015-08-07T15:36:48Z|Rain|+45.68|901.87|69
